Date : 2023-01-05 02:44:29
Directory : /Volumes/Veri/github/otp/autopark
Total : 211 files,  37178 codes, 862 comments, 1515 blanks, all 39555 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| apps/web                                                                                                              |        139 |     14,268 |        316 |        759 |     15,343 |
| apps/web (Files)                                                                                                      |          5 |        157 |          0 |          6 |        163 |
| apps/web/src                                                                                                          |        134 |     14,111 |        316 |        753 |     15,180 |
| apps/web/src (Files)                                                                                                  |          4 |         48 |          7 |          6 |         61 |
| apps/web/src/app                                                                                                      |         60 |      6,252 |        217 |        479 |      6,948 |
| apps/web/src/app (Files)                                                                                              |          3 |         70 |         11 |         17 |         98 |
| apps/web/src/app/components                                                                                           |         27 |      3,530 |         23 |        184 |      3,737 |
| apps/web/src/app/components/BreadCrumb                                                                                |          2 |         89 |          0 |         10 |         99 |
| apps/web/src/app/components/Controls                                                                                  |          1 |        115 |          0 |         14 |        129 |
| apps/web/src/app/components/Header                                                                                    |          2 |        727 |          6 |         20 |        753 |
| apps/web/src/app/components/Loading                                                                                   |          2 |        179 |          3 |         32 |        214 |
| apps/web/src/app/components/PapperBlock                                                                               |          2 |        217 |          0 |          9 |        226 |
| apps/web/src/app/components/SidebarBig                                                                                |          3 |        518 |          1 |         23 |        542 |
| apps/web/src/app/components/Tables                                                                                    |          5 |        596 |         13 |         34 |        643 |
| apps/web/src/app/components/Tables (Files)                                                                            |          2 |        354 |         12 |         14 |        380 |
| apps/web/src/app/components/Tables/tableParts                                                                         |          3 |        242 |          1 |         20 |        263 |
| apps/web/src/app/components/TemplateSettings                                                                          |         10 |      1,089 |          0 |         42 |      1,131 |
| apps/web/src/app/components/TemplateSettings (Files)                                                                  |          5 |        698 |          0 |         27 |        725 |
| apps/web/src/app/components/TemplateSettings/templatePreview                                                          |          5 |        391 |          0 |         15 |        406 |
| apps/web/src/app/container                                                                                            |          7 |        572 |         24 |         53 |        649 |
| apps/web/src/app/container/App                                                                                        |          4 |        181 |         14 |         34 |        229 |
| apps/web/src/app/container/Templates                                                                                  |          3 |        391 |         10 |         19 |        420 |
| apps/web/src/app/container/Templates (Files)                                                                          |          2 |        295 |          3 |         15 |        313 |
| apps/web/src/app/container/Templates/Layouts                                                                          |          1 |         96 |          7 |          4 |        107 |
| apps/web/src/app/reducers                                                                                             |          8 |        579 |         18 |         71 |        668 |
| apps/web/src/app/reducers (Files)                                                                                     |          1 |         15 |          0 |          2 |         17 |
| apps/web/src/app/reducers/Base                                                                                        |          1 |         32 |          0 |          8 |         40 |
| apps/web/src/app/reducers/Data                                                                                        |          3 |        331 |          2 |         28 |        361 |
| apps/web/src/app/reducers/Ui                                                                                          |          3 |        201 |         16 |         33 |        250 |
| apps/web/src/app/services                                                                                             |          5 |        539 |         82 |         48 |        669 |
| apps/web/src/app/store                                                                                                |          4 |         80 |          1 |         12 |         93 |
| apps/web/src/app/views                                                                                                |          6 |        882 |         58 |         94 |      1,034 |
| apps/web/src/app/views/Cameras                                                                                        |          2 |        298 |          0 |         22 |        320 |
| apps/web/src/app/views/Home                                                                                           |          1 |        119 |          0 |         15 |        134 |
| apps/web/src/app/views/Viewer                                                                                         |          3 |        465 |         58 |         57 |        580 |
| apps/web/src/assets                                                                                                   |         25 |      3,178 |         13 |         13 |      3,204 |
| apps/web/src/assets/favicons                                                                                          |          2 |         43 |          0 |          0 |         43 |
| apps/web/src/assets/images                                                                                            |         23 |      3,135 |         13 |         13 |      3,161 |
| apps/web/src/assets/images (Files)                                                                                    |          2 |         22 |          2 |          2 |         26 |
| apps/web/src/assets/images/avatars                                                                                    |         10 |      3,086 |         10 |         10 |      3,106 |
| apps/web/src/assets/images/decoration                                                                                 |          5 |         21 |          1 |          1 |         23 |
| apps/web/src/assets/images/logo                                                                                       |          6 |          6 |          0 |          0 |          6 |
| apps/web/src/environments                                                                                             |          2 |          8 |          2 |          3 |         13 |
| apps/web/src/mocks                                                                                                    |          1 |         20 |          0 |          1 |         21 |
| apps/web/src/styles                                                                                                   |         42 |      4,605 |         77 |        251 |      4,933 |
| apps/web/src/styles (Files)                                                                                           |          2 |          6 |          0 |          2 |          8 |
| apps/web/src/styles/components                                                                                        |         19 |      3,358 |         41 |        176 |      3,575 |
| apps/web/src/styles/components (Files)                                                                                |          5 |        320 |         10 |         19 |        349 |
| apps/web/src/styles/components/vendors                                                                                |         14 |      3,038 |         31 |        157 |      3,226 |
| apps/web/src/styles/components/vendors/image-lightbox                                                                 |          1 |        314 |          0 |         31 |        345 |
| apps/web/src/styles/components/vendors/invoice                                                                        |          1 |         44 |          5 |         11 |         60 |
| apps/web/src/styles/components/vendors/react-big-calendar                                                             |          1 |        661 |          0 |          4 |        665 |
| apps/web/src/styles/components/vendors/react-draft-wysiwyg                                                            |          1 |        804 |         11 |         12 |        827 |
| apps/web/src/styles/components/vendors/react-dropzone                                                                 |          1 |        159 |          0 |         22 |        181 |
| apps/web/src/styles/components/vendors/react-input-range                                                              |          1 |         80 |          0 |         13 |         93 |
| apps/web/src/styles/components/vendors/react-loading-bar                                                              |          1 |         63 |          0 |          9 |         72 |
| apps/web/src/styles/components/vendors/react-weather                                                                  |          1 |         65 |          0 |          5 |         70 |
| apps/web/src/styles/components/vendors/rechart                                                                        |          1 |         15 |          0 |          1 |         16 |
| apps/web/src/styles/components/vendors/select                                                                         |          1 |        413 |         10 |          1 |        424 |
| apps/web/src/styles/components/vendors/slick-carousel                                                                 |          4 |        420 |          5 |         48 |        473 |
| apps/web/src/styles/components/vendors/slick-carousel (Files)                                                         |          3 |        407 |          5 |         46 |        458 |
| apps/web/src/styles/components/vendors/slick-carousel/fonts                                                           |          1 |         13 |          0 |          2 |         15 |
| apps/web/src/styles/layout                                                                                            |          9 |        224 |         13 |         50 |        287 |
| apps/web/src/styles/mixins                                                                                            |          3 |          7 |          2 |          2 |         11 |
| apps/web/src/styles/theme                                                                                             |          6 |        981 |         21 |         12 |      1,014 |
| apps/web/src/styles/theme (Files)                                                                                     |          1 |        511 |         21 |          2 |        534 |
| apps/web/src/styles/theme/palette                                                                                     |          5 |        470 |          0 |         10 |        480 |
| apps/web/src/styles/variables                                                                                         |          3 |         29 |          0 |          9 |         38 |
| assets                                                                                                                |          1 |          1 |          0 |          0 |          1 |
| assets/AppIcons                                                                                                       |          1 |          1 |          0 |          0 |          1 |
| assets/AppIcons/Assets.xcassets                                                                                       |          1 |          1 |          0 |          0 |          1 |
| assets/AppIcons/Assets.xcassets/AppIcon.appiconset                                                                    |          1 |          1 |          0 |          0 |          1 |
| libs                                                                                                                  |          9 |        133 |          2 |         44 |        179 |
| libs/models                                                                                                           |          9 |        133 |          2 |         44 |        179 |
| libs/models (Files)                                                                                                   |          4 |         41 |          2 |          8 |         51 |
| libs/models/src                                                                                                       |          5 |         92 |          0 |         36 |        128 |
| libs/models/src (Files)                                                                                               |          1 |          1 |          0 |          1 |          2 |
| libs/models/src/lib                                                                                                   |          4 |         91 |          0 |         35 |        126 |
| libs/models/src/lib (Files)                                                                                           |          1 |          3 |          0 |          1 |          4 |
| libs/models/src/lib/Entities                                                                                          |          3 |         88 |          0 |         34 |        122 |
| tools                                                                                                                 |          1 |         11 |          2 |          0 |         13 |
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                              | language           | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /Volumes/Veri/github/otp/autopark/.prettierignore                                                                     | Ignore             |          2 |          1 |          2 |          5 |
| /Volumes/Veri/github/otp/autopark/.prettierrc                                                                         | JSON               |         11 |          0 |          1 |         12 |
| /Volumes/Veri/github/otp/autopark/Readme.md                                                                           | Markdown           |        275 |          8 |         59 |        342 |
| /Volumes/Veri/github/otp/autopark/apps/go/project.json                                                                | JSON               |         22 |          0 |          1 |         23 |
| /Volumes/Veri/github/otp/autopark/apps/go/src/Makefile                                                                | Makefile           |         73 |         16 |         15 |        104 |
| /Volumes/Veri/github/otp/autopark/apps/go/src/config.go                                                               | Go                 |        229 |         19 |         33 |        281 |
| /Volumes/Veri/github/otp/autopark/apps/go/src/go.mod                                                                  | Go Module File     |         46 |          0 |          5 |         51 |
| /Volumes/Veri/github/otp/autopark/apps/go/src/go.sum                                                                  | Go Checksum File   |        219 |          0 |          1 |        220 |
| /Volumes/Veri/github/otp/autopark/apps/go/src/http.go                                                                 | Go                 |        155 |          9 |         25 |        189 |
| /Volumes/Veri/github/otp/autopark/apps/go/src/imger/blend/blend.go                                                    | Go                 |         46 |         17 |          5 |         68 |
| /Volumes/Veri/github/otp/autopark/apps/go/src/imger/blur/blur.go                                                      | Go                 |         59 |         15 |          9 |         83 |
| /Volumes/Veri/github/otp/autopark/apps/go/src/imger/convolution/convolution.go                                        | Go                 |         55 |         14 |          4 |         73 |
| /Volumes/Veri/github/otp/autopark/apps/go/src/imger/convolution/kernel.go                                             | Go                 |         55 |          8 |         11 |         74 |
| /Volumes/Veri/github/otp/autopark/apps/go/src/imger/edgedetection/canny.go                                            | Go                 |        143 |         10 |         17 |        170 |
| /Volumes/Veri/github/otp/autopark/apps/go/src/imger/edgedetection/laplacian.go                                        | Go                 |         39 |         17 |          8 |         64 |
| /Volumes/Veri/github/otp/autopark/apps/go/src/imger/edgedetection/sobel.go                                            | Go                 |         51 |         16 |         10 |         77 |
| /Volumes/Veri/github/otp/autopark/apps/go/src/imger/effects/effects.go                                                | Go                 |        108 |         19 |         15 |        142 |
| /Volumes/Veri/github/otp/autopark/apps/go/src/imger/generate/generate.go                                              | Go                 |         91 |          5 |          7 |        103 |
| /Volumes/Veri/github/otp/autopark/apps/go/src/imger/grayscale/grayscale.go                                            | Go                 |         22 |          2 |          4 |         28 |
| /Volumes/Veri/github/otp/autopark/apps/go/src/imger/histogram/histogram.go                                            | Go                 |        103 |         15 |         12 |        130 |
| /Volumes/Veri/github/otp/autopark/apps/go/src/imger/imgio/io.go                                                       | Go                 |         88 |         12 |          9 |        109 |
| /Volumes/Veri/github/otp/autopark/apps/go/src/imger/padding/padding.go                                                | Go                 |        201 |         28 |         23 |        252 |
| /Volumes/Veri/github/otp/autopark/apps/go/src/imger/resize/filter.go                                                  | Go                 |         52 |         13 |         16 |         81 |
| /Volumes/Veri/github/otp/autopark/apps/go/src/imger/resize/resize.go                                                  | Go                 |        273 |         19 |         28 |        320 |
| /Volumes/Veri/github/otp/autopark/apps/go/src/imger/threshold/threshold.go                                            | Go                 |        178 |         39 |         17 |        234 |
| /Volumes/Veri/github/otp/autopark/apps/go/src/imger/transform/transform.go                                            | Go                 |         59 |         12 |          8 |         79 |
| /Volumes/Veri/github/otp/autopark/apps/go/src/imger/utils/constants.go                                                | Go                 |          5 |          4 |          5 |         14 |
| /Volumes/Veri/github/otp/autopark/apps/go/src/imger/utils/helpers.go                                                  | Go                 |         69 |         12 |         12 |         93 |
| /Volumes/Veri/github/otp/autopark/apps/go/src/imger/utils/parallelhelpers.go                                          | Go                 |         39 |          3 |          3 |         45 |
| /Volumes/Veri/github/otp/autopark/apps/go/src/main.go                                                                 | Go                 |         23 |          4 |          6 |         33 |
| /Volumes/Veri/github/otp/autopark/apps/go/src/onvif.go                                                                | Go                 |        186 |         94 |         50 |        330 |
| /Volumes/Veri/github/otp/autopark/apps/go/src/recorder.go                                                             | Go                 |        207 |          0 |         40 |        247 |
| /Volumes/Veri/github/otp/autopark/apps/go/src/stream.go                                                               | Go                 |         75 |          6 |          9 |         90 |
| /Volumes/Veri/github/otp/autopark/apps/go/src/test.go                                                                 | Go                 |         49 |          2 |          7 |         58 |
| /Volumes/Veri/github/otp/autopark/apps/go/src/wsocket.go                                                              | Go                 |        116 |          3 |         15 |        134 |
| /Volumes/Veri/github/otp/autopark/apps/ocr/project.json                                                               | JSON               |         21 |          0 |          1 |         22 |
| /Volumes/Veri/github/otp/autopark/apps/ocr/src/main.py                                                                | Python             |         22 |          1 |          5 |         28 |
| /Volumes/Veri/github/otp/autopark/apps/ocr/src/main_ws.py                                                             | Python             |         41 |         13 |         19 |         73 |
| /Volumes/Veri/github/otp/autopark/apps/ocr/src/test.py                                                                | Python             |          4 |          0 |          2 |          6 |
| /Volumes/Veri/github/otp/autopark/apps/server/project.json                                                            | JSON               |         52 |          0 |          1 |         53 |
| /Volumes/Veri/github/otp/autopark/apps/server/src/app/routers/camera.ts                                               | TypeScript         |         23 |          0 |          6 |         29 |
| /Volumes/Veri/github/otp/autopark/apps/server/src/app/routers/data.ts                                                 | TypeScript         |         69 |          1 |         10 |         80 |
| /Volumes/Veri/github/otp/autopark/apps/server/src/app/services/CameraService.ts                                       | TypeScript         |         61 |         20 |          8 |         89 |
| /Volumes/Veri/github/otp/autopark/apps/server/src/app/services/WebSocketService.ts                                    | TypeScript         |        155 |         20 |         19 |        194 |
| /Volumes/Veri/github/otp/autopark/apps/server/src/app/services/index.ts                                               | TypeScript         |         40 |          3 |          5 |         48 |
| /Volumes/Veri/github/otp/autopark/apps/server/src/assets/work1/yolov4.cfg                                             | Properties         |        235 |          5 |         45 |        285 |
| /Volumes/Veri/github/otp/autopark/apps/server/src/assets/work2/obj.cfg                                                | Properties         |        149 |          6 |         29 |        184 |
| /Volumes/Veri/github/otp/autopark/apps/server/src/assets/work4/yolov4-tiny-obj.cfg                                    | Properties         |        235 |          5 |         44 |        284 |
| /Volumes/Veri/github/otp/autopark/apps/server/src/environments/environment.prod.ts                                    | TypeScript         |          4 |          0 |          1 |          5 |
| /Volumes/Veri/github/otp/autopark/apps/server/src/environments/environment.ts                                         | TypeScript         |          4 |          0 |          1 |          5 |
| /Volumes/Veri/github/otp/autopark/apps/server/src/main.ts                                                             | TypeScript         |         86 |         18 |         13 |        117 |
| /Volumes/Veri/github/otp/autopark/apps/server/tsconfig.app.json                                                       | JSON               |         10 |          2 |          0 |         12 |
| /Volumes/Veri/github/otp/autopark/apps/server/tsconfig.json                                                           | JSON with Comments |         12 |          0 |          1 |         13 |
| /Volumes/Veri/github/otp/autopark/apps/server/webpack.config.js                                                       | JavaScript         |         44 |          0 |          2 |         46 |
| /Volumes/Veri/github/otp/autopark/apps/web/project.json                                                               | JSON               |         66 |          0 |          1 |         67 |
| /Volumes/Veri/github/otp/autopark/apps/web/proxy.conf.json                                                            | JSON               |         14 |          0 |          1 |         15 |
| /Volumes/Veri/github/otp/autopark/apps/web/src/app/components/BreadCrumb/breadCrumb-jss.ts                            | TypeScript         |         33 |          0 |          3 |         36 |
| /Volumes/Veri/github/otp/autopark/apps/web/src/app/components/BreadCrumb/index.tsx                                    | TypeScript React   |         56 |          0 |          7 |         63 |
| /Volumes/Veri/github/otp/autopark/apps/web/src/app/components/Controls/NumberField.tsx                                | TypeScript React   |        115 |          0 |         14 |        129 |
| /Volumes/Veri/github/otp/autopark/apps/web/src/app/components/Header/header-jss.ts                                    | TypeScript         |        512 |          1 |          4 |        517 |
| /Volumes/Veri/github/otp/autopark/apps/web/src/app/components/Header/index.tsx                                        | TypeScript React   |        215 |          5 |         16 |        236 |
| /Volumes/Veri/github/otp/autopark/apps/web/src/app/components/Loading/Loading.scss                                    | SCSS               |         53 |          0 |          7 |         60 |
| /Volumes/Veri/github/otp/autopark/apps/web/src/app/components/Loading/index.tsx                                       | TypeScript React   |        126 |          3 |         25 |        154 |
| /Volumes/Veri/github/otp/autopark/apps/web/src/app/components/PapperBlock/index.tsx                                   | TypeScript React   |        100 |          0 |          6 |        106 |
| /Volumes/Veri/github/otp/autopark/apps/web/src/app/components/PapperBlock/papperStyle-jss.ts                          | TypeScript         |        117 |          0 |          3 |        120 |
| /Volumes/Veri/github/otp/autopark/apps/web/src/app/components/SidebarBig/MainMenuBig.tsx                              | TypeScript React   |        212 |          1 |         13 |        226 |
| /Volumes/Veri/github/otp/autopark/apps/web/src/app/components/SidebarBig/index.tsx                                    | TypeScript React   |         57 |          0 |          6 |         63 |
| /Volumes/Veri/github/otp/autopark/apps/web/src/app/components/SidebarBig/sidebarBig-jss.ts                            | TypeScript         |        249 |          0 |          4 |        253 |
| /Volumes/Veri/github/otp/autopark/apps/web/src/app/components/Tables/Table.tsx                                        | TypeScript React   |        161 |          0 |         11 |        172 |
| /Volumes/Veri/github/otp/autopark/apps/web/src/app/components/Tables/tableParts/ActionCell.tsx                        | TypeScript React   |         42 |          0 |          6 |         48 |
| /Volumes/Veri/github/otp/autopark/apps/web/src/app/components/Tables/tableParts/TableHeader.tsx                       | TypeScript React   |         79 |          0 |          6 |         85 |
| /Volumes/Veri/github/otp/autopark/apps/web/src/app/components/Tables/tableParts/TableToolbar.tsx                      | TypeScript React   |        121 |          1 |          8 |        130 |
| /Volumes/Veri/github/otp/autopark/apps/web/src/app/components/Tables/tableStyle-jss.ts                                | TypeScript         |        193 |         12 |          3 |        208 |
| /Volumes/Veri/github/otp/autopark/apps/web/src/app/components/TemplateSettings/LayoutThumb.tsx                        | TypeScript React   |         35 |          0 |          6 |         41 |
| /Volumes/Veri/github/otp/autopark/apps/web/src/app/components/TemplateSettings/ThemeThumb.tsx                         | TypeScript React   |         62 |          0 |          6 |         68 |
| /Volumes/Veri/github/otp/autopark/apps/web/src/app/components/TemplateSettings/index.tsx                              | TypeScript React   |        253 |          0 |         11 |        264 |
| /Volumes/Veri/github/otp/autopark/apps/web/src/app/components/TemplateSettings/settings-jss.ts                        | TypeScript         |        202 |          0 |          3 |        205 |
| /Volumes/Veri/github/otp/autopark/apps/web/src/app/components/TemplateSettings/templatePreview/BigSidebarThumb.tsx    | TypeScript React   |         63 |          0 |          3 |         66 |
| /Volumes/Veri/github/otp/autopark/apps/web/src/app/components/TemplateSettings/templatePreview/LeftSidebarThumb.tsx   | TypeScript React   |         45 |          0 |          3 |         48 |
| /Volumes/Veri/github/otp/autopark/apps/web/src/app/components/TemplateSettings/templatePreview/MegaMenuThumb.tsx      | TypeScript React   |         48 |          0 |          3 |         51 |
| /Volumes/Veri/github/otp/autopark/apps/web/src/app/components/TemplateSettings/templatePreview/TopNavigationThumb.tsx | TypeScript React   |         47 |          0 |          3 |         50 |
| /Volumes/Veri/github/otp/autopark/apps/web/src/app/components/TemplateSettings/templatePreview/thumbPreview-jss.ts    | TypeScript         |        188 |          0 |          3 |        191 |
| /Volumes/Veri/github/otp/autopark/apps/web/src/app/components/TemplateSettings/themePalette.ts                        | TypeScript         |        146 |          0 |          1 |        147 |
| /Volumes/Veri/github/otp/autopark/apps/web/src/app/container/App/AppContext.ts                                        | TypeScript         |          3 |          0 |          3 |          6 |
| /Volumes/Veri/github/otp/autopark/apps/web/src/app/container/App/Application.tsx                                      | TypeScript React   |         28 |          0 |          6 |         34 |
| /Volumes/Veri/github/otp/autopark/apps/web/src/app/container/App/ThemeWrapper.tsx                                     | TypeScript React   |        101 |         11 |         16 |        128 |
| /Volumes/Veri/github/otp/autopark/apps/web/src/app/container/App/index.tsx                                            | TypeScript React   |         49 |          3 |          9 |         61 |
| /Volumes/Veri/github/otp/autopark/apps/web/src/app/container/Templates/Dashboard.tsx                                  | TypeScript React   |         87 |          3 |         11 |        101 |
| /Volumes/Veri/github/otp/autopark/apps/web/src/app/container/Templates/Layouts/LeftSidebarBig.tsx                     | TypeScript React   |         96 |          7 |          4 |        107 |
| /Volumes/Veri/github/otp/autopark/apps/web/src/app/container/Templates/appStyles-jss.ts                               | TypeScript         |        208 |          0 |          4 |        212 |
| /Volumes/Veri/github/otp/autopark/apps/web/src/app/reducers/Base/index.ts                                             | TypeScript         |         32 |          0 |          8 |         40 |
| /Volumes/Veri/github/otp/autopark/apps/web/src/app/reducers/Data/actions.ts                                           | TypeScript         |        129 |          0 |          4 |        133 |
| /Volumes/Veri/github/otp/autopark/apps/web/src/app/reducers/Data/reducer.ts                                           | TypeScript         |        113 |          1 |          6 |        120 |
| /Volumes/Veri/github/otp/autopark/apps/web/src/app/reducers/Data/state.ts                                             | TypeScript         |         89 |          1 |         18 |        108 |
| /Volumes/Veri/github/otp/autopark/apps/web/src/app/reducers/Result.ts                                                 | TypeScript         |         15 |          0 |          2 |         17 |
| /Volumes/Veri/github/otp/autopark/apps/web/src/app/reducers/Ui/actions.ts                                             | TypeScript         |         65 |         12 |         13 |         90 |
| /Volumes/Veri/github/otp/autopark/apps/web/src/app/reducers/Ui/reducer.ts                                             | TypeScript         |         82 |          3 |          8 |         93 |
| /Volumes/Veri/github/otp/autopark/apps/web/src/app/reducers/Ui/state.ts                                               | TypeScript         |         54 |          1 |         12 |         67 |
| /Volumes/Veri/github/otp/autopark/apps/web/src/app/services/CameraService.ts                                          | TypeScript         |         34 |          0 |          4 |         38 |
| /Volumes/Veri/github/otp/autopark/apps/web/src/app/services/DataService.ts                                            | TypeScript         |        184 |         53 |          8 |        245 |
| /Volumes/Veri/github/otp/autopark/apps/web/src/app/services/MachineService.ts                                         | TypeScript         |        160 |          3 |         14 |        177 |
| /Volumes/Veri/github/otp/autopark/apps/web/src/app/services/ServiceBase.ts                                            | TypeScript         |        124 |         20 |         16 |        160 |
| /Volumes/Veri/github/otp/autopark/apps/web/src/app/services/WebSocketService.ts                                       | TypeScript         |         37 |          6 |          6 |         49 |
| /Volumes/Veri/github/otp/autopark/apps/web/src/app/store/StoreHelper.ts                                               | TypeScript         |         13 |          0 |          2 |         15 |
| /Volumes/Veri/github/otp/autopark/apps/web/src/app/store/configureStore.ts                                            | TypeScript         |         31 |          0 |          3 |         34 |
| /Volumes/Veri/github/otp/autopark/apps/web/src/app/store/index.ts                                                     | TypeScript         |         18 |          0 |          5 |         23 |
| /Volumes/Veri/github/otp/autopark/apps/web/src/app/store/localStorage.ts                                              | TypeScript         |         18 |          1 |          2 |         21 |
| /Volumes/Veri/github/otp/autopark/apps/web/src/app/utils.ts                                                           | TypeScript         |         28 |         11 |          9 |         48 |
| /Volumes/Veri/github/otp/autopark/apps/web/src/app/views/Cameras/Form.tsx                                             | TypeScript React   |        180 |          0 |         13 |        193 |
| /Volumes/Veri/github/otp/autopark/apps/web/src/app/views/Cameras/index.tsx                                            | TypeScript React   |        118 |          0 |          9 |        127 |
| /Volumes/Veri/github/otp/autopark/apps/web/src/app/views/Home/index.tsx                                               | TypeScript React   |        119 |          0 |         15 |        134 |
| /Volumes/Veri/github/otp/autopark/apps/web/src/app/views/Viewer/CameraManagement.ts                                   | TypeScript         |         80 |         25 |         14 |        119 |
| /Volumes/Veri/github/otp/autopark/apps/web/src/app/views/Viewer/CameraView.tsx                                        | TypeScript React   |        119 |          1 |         16 |        136 |
| /Volumes/Veri/github/otp/autopark/apps/web/src/app/views/Viewer/VideoPlayer.tsx                                       | TypeScript React   |        266 |         32 |         27 |        325 |
| /Volumes/Veri/github/otp/autopark/apps/web/src/app/withRouter.tsx                                                     | TypeScript React   |         22 |          0 |          4 |         26 |
| /Volumes/Veri/github/otp/autopark/apps/web/src/app/withWidth.tsx                                                      | TypeScript React   |         20 |          0 |          4 |         24 |
| /Volumes/Veri/github/otp/autopark/apps/web/src/assets/favicons/browserconfig.xml                                      | XML                |          2 |          0 |          0 |          2 |
